 INFO 2015-04-26 17:27:53,353 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:27:57,519 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-26 17:27:57,519 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:28:01,663 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank Invalid item ID'
 INFO 2015-04-26 17:28:01,664 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:28:05,820 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item with invalid end url'
 INFO 2015-04-26 17:28:05,822 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Positive_Scenarios set
 INFO 2015-04-26 17:28:05,823 [main] (TestEngine.java:85) - Started executing Test Set :Set_Positive_Scenarios
 INFO 2015-04-26 17:28:05,823 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:28:10,089 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-26 17:28:10,090 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Negative_Scenarios set
 INFO 2015-04-26 17:28:10,091 [main] (TestEngine.java:85) - Started executing Test Set :Set_Negative_Scenarios
 INFO 2015-04-26 17:28:10,091 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 17:28:14,277 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set with blank Set ID'
 INFO 2015-04-26 17:28:14,279 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 17:35:04,103 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 17:35:12,135 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 17:35:26,151 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 17:35:26,286 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 17:35:41,453 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-26 17:35:45,470 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-26 17:35:46,523 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-26 17:36:14,075 [main] (TestcaseRun.java:343) - Executing GET request - 
ERROR 2015-04-26 17:37:15,034 [main] (TestcaseRun.java:511) - javax.json.stream.JsonParsingException: Unexpected char 10 at (line no=1, column no=14, offset=13)
 INFO 2015-04-26 17:37:31,883 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item'
 INFO 2015-04-26 17:37:31,886 [main] (TestEngine.java:79) - Total 3 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-26 17:37:31,887 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-26 17:38:32,470 [main] (StartPoint.java:33) - Configuration log4j is successful
